pl_name,pl_rade,pl_eqt,pl_insol,st_teff,st_rad,sy_dist
TOI-1249 b,3.2710301,726.89,,5497.0,0.9785,139.49
K2-292 b,2.63,795.0,67.0,5725.0,1.09,114.293
TOI-262 b,2.07,584.0,,5310.0,0.853,43.932
EPIC 220674823 b,1.676,2299.0,4656.0,5578.0,0.99,244.59
K2-343 c,2.02,465.0,,3804.0,0.46,166.169
TOI-1448 b,2.749,426.0,5.45,3412.0,0.38,73.3345
TOI-1937 A b,13.97759893,2097.0,3230.0,5814.0,1.08,415.135
Kepler-138 d,1.51,345.0,3.4,3841.0,0.535,66.8624
Kepler-549 d,4.2,586.0,27.93,5312.0,0.986,635.145
Kepler-730 c,1.56926,1607.0,,5620.0,1.411,1935.04
Qatar-9 b,11.309881,1134.0,,4309.0,0.696,213.771
Kepler-1869 c,0.74,1455.0,1056.84,5808.0,0.902,113.025
TOI-1231 b,3.65,329.6,1.93,3553.0,0.476,27.6227
TOI-6008 b,1.03,707.0,41.5,3075.0,0.242,23.1008
WASP-169 b,14.616536,1604.0,,6110.0,2.011,627.066
TOI-1259 A b,11.45557828,963.0,,4775.0,0.711,118.106
WASP-75 b,14.235,1710.0,,6100.0,1.26,294.001
K2-153 b,2.0,497.0,,3845.0,0.53,143.125
TOI-3540 A b,23.53885947,1498.0,841.3,5810.0,1.228,
WASP-168 b,16.8135,1340.0,,6000.0,1.12,303.941
TOI-2328 b,9.97599282,842.0,,5525.0,0.9,231.782
TOI-2368 b,10.83908434,1000.0,,5360.0,0.846,210.915
TOI-2587 A b,12.07207221,1445.0,728.0,5760.0,1.726,373.675
TOI-2796 b,17.26183028,1205.0,352.0,5764.0,1.069,350.343
Kepler-290 d,0.86,1589.0,1503.79,5142.0,0.755,694.627
Kepler-2000 c,1.57,359.0,3.92,3757.0,0.576,320.588
Kepler-7 b,18.180998,1630.0,,5933.0,1.966,922.562
Kepler-38 b,4.3,475.0,,5623.0,1.752,1174.59
HD 23472 e,0.818,723.0,46.7,4684.0,0.71,39.0341
TOI-3364 b,12.22899794,1264.0,425.0,5706.0,1.419,277.899
TOI-2485 b,12.1393261,1134.0,275.6,,1.72,397.953
NGTS-1 b,14.90797,790.0,65.3,3916.0,0.573,218.121
TOI-3568 b,5.3,899.0,,4969.0,0.719,197.906
TOI-3984 A b,7.9,563.0,16.7,3476.0,0.47,108.883
K2-289 b,9.1,753.0,,5529.0,1.025,274.3
K2-57 b,2.30905002,635.8,,4413.0,0.671,264.213
Kepler-1976 b,12.21,1103.0,349.4,5712.0,1.082,1314.51
EPIC 212737443 c,2.69,316.0,,4684.0,0.673,336.25
Kepler-76 b,15.24424,2140.0,,6409.0,1.32,822.96
Kepler-1978 b,2.67,676.0,49.3,5251.0,0.778,865.512
K2-253 b,12.67,1238.0,,6027.0,1.1,876.565
WASP-189 b,18.14733975,3353.0,,8000.0,2.36,99.731
NGTS-30 b,10.40193409,500.0,,5455.0,0.913,238.377
Kepler-167 b,1.718,918.0,,4884.0,0.749,341.908
Kepler-1162 c,1.81,401.0,6.14,5225.0,0.859,940.211
EPIC 212587672 c,2.32,658.0,,6004.0,0.98,320.07
TOI-431 d,3.29,633.0,,4850.0,0.731,32.5686
WASP-142 b,17.14977,2000.0,,6010.0,1.64,730.933
K2-352 c,1.92,885.0,,5791.0,0.95,176.051
TOI-6330 b,10.89,495.0,9.97,3539.0,0.49,139.042
HD 191939 c,3.195,600.0,21.0,5348.0,0.94,53.6089
TOI-907.01,9.6158851,1846.6,1729.6714,6272.0,2.059789,312.529
TOI-286 b,1.42,979.0,,5152.0,0.78,59.2293
TOI-4994 b,8.54124329,717.6,40.0,5640.0,1.055,329.304
TOI-5386 A b,14.70618268,1488.0,817.0,6094.0,1.245,394.486
Kepler-391 c,2.88,662.0,179.0,5038.0,2.879,869.236
LP 791-18 b,1.212,564.3,24.14,2960.0,0.182,26.4927
